"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"114.","1441","Крушевац","Расински управни округ","Александровац","Александровац","Средња школа Свети Трифун са домом ученика","Крушевачка 8-10","37230","pts_s_trifun@mts.rs","37751117","http://www.svetitrifun.edu.rs","7154178","100387363","","Средње стручне школе","Државно","27","1","0","710","365","1","5","0","69","57.690000","104","97.160000"
"115.","1442","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Гимназија","Топличина 1","37000","gimnazijaks@gmail.com","(037)427208","http://gimnazija.org.rs","7102968","100314207","1990-12-31","Гимназије","Државно","39","0","0","1110","671","1","0","0","90","76.620000","112","99.120000"
"116.","1443","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Економско-трговинска школа","Чеховљева 1","37000","ekotrg@ptt.rs","(037)492658","http://ekonomskaks.edu.rs","7352689","100480614","1939-05-21","Средње стручне школе","Државно","32","0","0","926","577","4","12","0","84","63.580000","104","83.850000"
"117.","1444","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Медицинска школа","Ћирила и Методија 22","37000","medicinskaskolakrusevac@gmail.com","(037)440319","http://www.medicinska.edu.rs","7611692","100320711","1990-12-31","Средње стручне школе","Државно","20","0","0","610","453","0","0","0","75","50.790000","85","63.290000"
"118.","1445","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Политехничка школа Милутин Миланковић","Чеховљева 1","37000","office@politehnicka-skola.edu.rs","(037)492657","http://tehnicka-skola.edu.rs","7352719","100480622","1991-04-01","Средње стручне школе","Државно","29","3","0","694","390","4","9","0","94","70.275900","115","91.125900"
"119.","1446","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Економска школа 9. Мај","Ђуре Даничића 2","22000","ekonomskasm@mts.rs","(022)615320","http://www.es.edu.rs","8015791","100797905","1959-09-01","Средње стручне школе","Државно","26","0","0","747","458","1","2","0","67","54.035700","84","72.035700"
"120.","1447","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Медицинска школа Драгиња Никшић","Јупитерова 26","22000","med.sm@mts.rs","(022)625525","http://www.medicinskasm.edu.rs","8195269","100800397","1959-03-19","Средње стручне школе","Државно","25","1","0","734","565","1","1","0","90","65.008100","107","84.508100"
"121.","1448","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Прехрамбено-шумарска и хемијска школа","Змај Јовина 3","22000","sekretarpsh@neobee.net","(022)622352","http://www.psh-skola.edu.rs","8112622","100800428","1993-09-30","Средње стручне школе","Државно","23","0","0","453","197","1","0","0","65","48.617200","90","74.617200"
"122.","1449","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Средња техничка школа Никола Тесла","Змај Јовина 29","22000","nikolateslasts@yahoo.com","(022)639167","http://nikolateslasm.edu.rs","8061173","100799099","1961-04-22","Средње стручне школе","Државно","27","2","0","707","85","0","1","0","64","53.920000","83","74.920000"
"123.","1451","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Гимназија Бранко Радичевић","Светосавска 5","22300","stapgim@ptt.rs","(022)310271","http://stapgim.edu.rs","8228426","100535524","1990-05-10","Гимназије","Државно","16","0","0","447","283","1","1","0","40","29.781100","51","40.581100"
"124.","1452","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Економско-трговинска школа Вук Караџић","Светосавска 5","22300","ekonomskas@mts.rs","(022)310799","http://www.etsvuk.rs","8170649","100535516","1956-09-01","Средње стручне школе","Државно","20","0","0","538","392","0","1","0","54","37.640000","64","47.640000"
"125.","1453","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Техничка школа","Светосавска 5","22300","tskola@mts.rs","(022)310641","http://www.tehnickapazova.edu.rs","8170622","100535508","1946-09-01","Средње стручне школе","Државно","20","2","0","532","92","7","1","0","51","42.550000","62","54.550000"
"126.","1454","Нови Сад","Сремски управни округ","Шид","Шид","Гимназија Сава Шумановић","Лазе Костића 2","22240","gimsid@neobee.net","(022)2712529","http://www.gimnazijasid.znanje.info","8215618","100929329","1951-09-01","Средње стручне школе","Државно","16","0","0","444","270","1","0","0","39","28.751100","48","39.742600"
"127.","1455","Нови Сад","Сремски управни округ","Шид","Шид","Техничка школа Никола Тесла","Школска 1","22240","info@nts.edu.rs","(022)712503","http://www.nts.edu.rs","8017263","101417190","","Средње стручне школе","Државно","16","3","0","344","101","0","1","0","42","31.700000","55","45.750000"
"128.","1456","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Прва београдска гимназија","Цара Душана 61","11158","uprava@prvabeogim.edu.rs","(011)2629321","http://www.prvabeogim.edu.rs","7003021","100040770","1839-06-18","Гимназије","Државно","35","0","0","1015","579","0","0","0","78","65.063700","101","87.723700"
"129.","1457","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Математичка гимназија","Краљице Наталије 37","11000","mg@mg.edu.rs","(011)2641378","http://www.mg.edu.rs","7003030","100059449","1966-05-17","Гимназије","Државно","24","0","0","493","170","1","0","77","84","58.399900","100","74.899900"
"130.","1458","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Прва економска школа","Цетињска 5-7","11000","direktor@prvaekonomska.edu.rs","(011)3373488","http://www.prvaekonomska.edu.rs","7003005","100279145","1881-05-01","Средње стручне школе","Државно","29","0","0","858","549","0","0","0","60","52.327700","79","71.327700"
"131.","1459","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Трговачка школа","Хиландарска 1","11000","info@trgovackaskola.edu.rs","(011)3225894","http://www.trgovackaskola.edu.rs","7061625","100054599","1843-10-01","Средње стручне школе","Државно","40","0","0","1029","616","0","0","0","90","77.738700","114","102.348700"
"132.","1460","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Правно-пословна школа Београд","Светогорска 48","11003","uprava@pps.rs","(011)3242062","http://www.pps.rs","7079931","101514728","1952-09-01","Средње стручне школе","Државно","27","0","0","837","599","5","2","0","68","53.880000","82","68.378900"
"133.","1461","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Ваздухопловна академија","Булевар Војводе Бојовића 2","11000","direktor@vakademija.edu.rs","(011)2182944","http://www.vakademija.edu.rs","7002998","100122257","1924-09-22","Средње стручне школе","Државно","33","8","0","809","315","0","0","0","85","81.800000","108","108.800000"
"134.","1462","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Електротехничка школа Никола Тесла","Краљице Наталије 31","11000","nikolateslabeograd@gmail.com","(011)2688598","http://www.teslabg.edu.rs","7003048","100052255","1956-08-29","Средње стручне школе","Државно","66","0","0","1899","153","0","0","0","149","147.621500","183","184.621500"
"135.","1463","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Техничка школа ДРВО АРТ","Цара Душана 23","11000","drvoart.direktor@mts.rs","(011)2631361","http://www.drvoart.edu.rs","7003137","101824456","1956-09-06","Средње стручне школе","Државно","23","3","0","511","286","0","2","0","65","58.100000","84","79.000000"
"136.","1464","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Електротехничка школа Стари град","Високог Стевана 37","11000","etsstarigrad@sezampro.rs","2627784","http://www.etsstarigrad.edu.rs","7002980","101514816","1947-06-12","Средње стручне школе","Државно","23","3","0","643","14","0","0","0","60","47.243800","77","64.943800"
"137.","1467","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Филолошка гимназија","Каменичка 2","11000","filoloska_gimnazija@yahoo.com","(011)2621955","http://www.filoloska.edu.rs","7001916","100223140","1870-06-02","Гимназије","Државно","28","8","0","618","536","1","0","0","100","89.830000","114","105.130000"
"138.","1468","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Гимназија Свети Сава","Ресавска 58","11000","sekretar@sveti-sava.edu.rs","(011)2658921","http://www.sveti-sava.edu.rs","7001932","102259693","1964-12-24","Гимназије","Државно","29","0","0","865","484","0","0","0","62","55.899800","76","73.094400"
"139.","1469","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Четврта београдска гимназија","Теодора Драјзера 25","11040","cetvrta@eunet.rs","2663652","http://cetvrtagimnazija.edu.rs","7001924","100349768","1962-09-01","Гимназије","Државно","25","0","0","750","429","0","0","0","53","47.937000","64","61.437000"
"140.","1470","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Медицинска школа Београд","Делиградска 31","11000","mskola@eunet.rs","(011)2684544","http://www.medicinskaskola.edu.rs","7083785","100267114","1964-12-24","Средње стручне школе","Државно","54","0","8","1603","1304","0","0","0","148","138.696800","175","168.196800"
"141.","1471","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Зуботехничка школа","Станка Враза 63","11000","ztsbgd@gmail.com","(011)6442913","http://www.zts.edu.rs","17091590","102088368","1947-05-25","Средње стручне школе","Државно","24","0","0","749","566","1","1","0","79","67.574000","99","91.374000"
"142.","1472","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Угоститељско-туристичка школа","Југ Богданова 28","11000","utsbgd@mts.rs","(011)2633250","http://ut-skola.znanje.info","7017405","100267874","1960-12-14","Средње стручне школе","Државно","37","0","0","1117","520","0","20","0","109","94.517300","191","184.522800"
"143.","1473","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Школа за бродарство, бродоградњу и хидроградњу","Милоша Поцерца 2","11000","direktor@brodarska.edu.rs","(011)3620743","http://www.brodarska.edu.rs","7001959","100118404","1946-12-17","Средње стручне школе","Државно","16","1","0","394","54","0","0","0","44","32.740000","56","45.540000"
"144.","1474","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Техничка школа за дизајн коже","Војислава Илића 88","11010","tszdk@hotmail.com","2632183","http://www.skolazadizajnkoze.edu.rs","7454783","101994730","1964-12-24","Средње стручне школе","Државно","14","2","0","254","187","1","1","0","44","35.065400","58","48.565400"
"145.","1475","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Школа за дизајн","Kрупањска 3","11000","direktor@dizajnerska.edu.rs","(011)3066408","http://skolazadizajn.com","7001860","100219883","1963-05-11","Средње стручне школе","Државно","20","0","0","416","342","0","0","0","61","51.729200","74","65.729200"
"146.","1476","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Дванаеста београдска гимназија","Војводе Степе 82","11000","direktorxii@gmail.com","(011)2460361","http://www.xiigimnazija.edu.rs","7017332","100378676","1863-09-01","Гимназије","Државно","32","0","0","907","525","0","0","0","64","57.688400","83","78.188400"
"147.","1477","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Осма београдска гимназија","Грчића Миленка 71","11050","osma_sekretarijat@yahoo.com","(011)2850779","http://www.osmagimnazija.edu.rs","17409077","102008758","2002-06-20","Гимназије","Државно","34","0","0","924","507","0","0","0","74","62.047600","95","83.047600"
"148.","1478","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Друга економска школа","Господара Вучића 50","11118","skola@drugaekonomska.edu.rs","(011)6440132","http://www.drugaekonomska.edu.rs","7049951","101740041","1939-05-25","Средње стручне школе","Државно","43","0","0","1290","739","0","0","0","86","80.381200","103","98.401200"
"149.","1479","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Школа за негу лепоте","Јована Суботића 2","11050","skolazanegulepote@gmail.com","(011)3447226","http://www.skolazanegulepote.edu.rs","7002971","101976930","1951-12-04","Средње стручне школе","Државно","39","0","0","947","758","0","17","0","94","83.748800","119","109.448800"
"150.","1480","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Геолошка и хидрометеоролошка школа Милутин Миланковић","Есад пашина 26","11010","ghmskola@mts.rs","3098084","http://www.ghmskola.edu.rs","7019939","100164338","1947-05-28","Средње стручне школе","Државно","20","0","0","504","291","0","0","0","46","37.406700","60","51.406700"
"151.","1481","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Школа за дизајн текстила","Војислава Илића 88","11000","skolazadizajn@eunet.rs","(011)2833693","http://skolazadizajntekstila.edu.rs","7454775","102008983","1961-09-01","Средње стручне школе","Државно","19","0","0","450","403","0","3","0","65","55.110000","84","74.110000"
"152.","1482","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Трећа београдска гимназија","Његошева 15","11000","trecabggim@gmail.com","3640942","http://www.trecagimnazija.edu.rs","7018860","100290203","1991-12-18","Гимназије","Државно","40","0","0","1193","741","0","0","0","83","71.890000","102","93.480000"
"153.","1483","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Четрнаеста београдска гимназија","Хаџи Проданова 5","11000","direktor@cetrnaestgim.edu.rs","(011)3086920","http://cetrnaestgim.edu.rs","7004320","100279813","1953-11-02","Гимназије","Државно","32","0","0","1039","661","0","1","0","69","59.737700","85","75.737700"
"154.","1484","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Техничка школа ГСП","Радослава Грујића 2","11000","skolagsp@gmail.com","(011)2458626","http://www.tehnickaskolagsp.edu.rs","7018878","100157484","1933-10-03","Средње стручне школе","Државно","50","3","0","1302","129","13","5","0","121","115.789200","155","152.789200"
"155.","1488","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Пета београдска гимназија","Илије Гарашанина 24","11000","referent@vbeogradska.edu.rs","(011)3236367","http://vbeogradska.edu.rs","7004508","101521096","1905-06-29","Гимназије","Државно","38","0","0","1155","728","0","0","0","74","66.321300","93","86.171300"
"156.","1489","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Средња техничка ПТТ школа","Здравка Челара 16","11000","srednjatehnicka@pttskola.edu.rs","(011)3290334","https://www.pttskola.edu.rs","17459139","102706478","2003-01-22","Средње стручне школе","Државно","26","0","0","733","247","1","1","1","68","60.443300","84","78.593300"
"157.","1490","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Пољопривредна школа са домом ученика ПК Београд","Панчевачки пут 39","11210","skolapkb@gmail.com","(011)2712715","http://www.skolapkb.edu.rs","7043309","100254975","1994-03-26","Средње стручне школе","Државно","23","1","0","572","314","0","6","0","68","60.055600","114","108.005600"
"158.","1491","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Железничка техничка школа","Здравка Челара 14","11120","skola@ztskola.edu.rs","(011)2762876","http://www.ztskola.edu.rs","7032463","100210499","1962-10-13","Средње стручне школе","Државно","27","3","0","637","192","1","0","0","85","54.821100","100","73.985100"
"159.","1492","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Електротехничка школа Раде Кончар","Браће Грим 32","11108","koncar@beotel.rs","2763062","http://www.koncar.edu.rs","7004494","101727430","1945-10-30","Средње стручне школе","Државно","44","0","0","1143","47","1","2","0","99","92.218000","121","117.768000"
"160.","1493","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Шеста београдска гимназија","Милана Ракића 33","11050","uprava@vigimnazija.edu.rs","(011)2412682","http://vigimnazija.edu.rs","7076843","100027643","1933-10-19","Гимназије","Државно","37","0","0","1118","660","0","0","0","78","69.824800","100","94.018100"
"161.","1494","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Медицинска школа","Вељка Дугошевића бб","11050","skola@medicinska-zvezdara.edu.rs","(011)2415455","http://www.medicinska-zvezdara.edu.rs","7014643","100029516","1921-05-25","Средње стручне школе","Државно","52","0","0","1598","1204","0","0","0","142","128.715600","173","164.104500"
"162.","1495","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Архитектонска техничка школа","Војислава Илића 78","11050","ats@ats.edu.rs","(011)2412127","http://www.ats.edu.rs","7078641","102079710","1991-06-13","Средње стручне школе","Државно","24","0","0","671","371","0","0","0","65","54.320000","86","75.820000"
"163.","1496","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Грађевинско техничка школа Бранко Жежељ","Хајдук Станкова 2","11000","direktor@gtskola.edu.rs","2404827","http://www.gtskola.edu.rs","7078625","100027008","1991-06-13","Средње стручне школе","Државно","16","0","0","346","102","3","0","0","43","34.456300","61","52.956300"
"164.","1497","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Грађевинска школа","Хајдук Станкoва 2","11000","gradjevinska.direktor@gmail.com","(011)2403525","http://gradjevinska.edu.rs","7078633","101150068","1991-06-13","Средње стручне школе","Државно","25","9","0","484","48","0","3","0","57","47.957300","73","64.957300"
"165.","1498","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Техноарт Београд - школа за машинство и уметничке занате","Светог Николе 39","11120","sekretar@tehnoart.rs","112415556","http://www.tehnoart.rs","7014651","101715742","1962-05-31","Средње стручне школе","Државно","35","9","0","856","220","4","1","0","103","95.609100","127","120.109100"
"166.","1499","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Гимназија ""Патријарх Павле""","Гочка 40","11090","xvbggim@gmail.com","2322808","http://xvbggimnazija.edu.rs","6009719","101992172","1992-10-10","Гимназије","Државно","34","0","0","1017","581","0","1","3","70","64.304800","88","82.906600"
"167.","1500","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Пета економска школа Раковица","Хасанагинице 8","11090","petaekonomska@gmail.com","(011)3511853","http://www.petaekonomska.edu.rs","7004028","101993296","1962-04-25","Средње стручне школе","Државно","16","0","0","484","291","16","0","0","40","30.789000","52","42.789000"
"168.","1501","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Машинска школа Радоје Дакић","Мишка Крањца 17","11090","radojedakic.skola@gmail.com","(011)3581200","http://www.msradojedakic.edu.rs","7004532","100167898","1963-03-28","Средње стручне школе","Државно","20","0","0","462","34","0","5","0","53","45.278400","76","67.108400"
"169.","1503","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Тринаеста београдска гимназија","Љешка 47","11030","trinaestbggim@orion.rs","(011)3555151","http://www.trinaestabggim.edu.rs","7014392","101011889","1941-09-01","Гимназије","Државно","36","0","0","1123","709","0","0","0","76","65.427800","93","85.927800"
"170.","1504","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Хемијско-прехрамбена технолошка школа","Љешка 82","11030","hptskola@gmail.com","(011)3555054","http://www.hptskola.edu.rs","7009275","101012781","1957-10-20","Средње стручне школе","Државно","37","0","0","876","566","11","6","0","99","87.325500","127","117.410500"
"171.","1505","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Техничка школа","Југословенска 4","11250","tehnickaskola@sezampro.rs","(011)6572175","http://tszeleznik.edu.rs","7009267","101013900","1948-07-27","Средње стручне школе","Државно","16","3","0","382","33","1","1","0","46","36.914900","66","56.704900"
"172.","1507","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Девета гимназија Михаило Петровић Алас","Булевар маршала Толбухина 41","11070","mpalas@ptt.rs","(011)2694133","http://devetagimnazija.edu.rs","7093314","100428013","1961-06-30","Гимназије","Државно","32","0","0","991","565","0","0","0","67","59.093300","83","76.593300"
"173.","1508","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Десета гимназија Михајло Пупин","Антифашистичке борбе 1а","11070","direktor@xgimnazija.edu.rs","(011)3114142","http://xgimnazija.edu.rs","7047177","100228602","1933-04-06","Гимназије","Државно","36","0","0","1104","701","0","0","0","78","64.530000","97","82.530000"
"174.","1509","Београд","Град Београд","Београд - Земун","Београд (Земун)","Политехника - школа за нове технологије","Аутопут 18","11080","politehnikant@gmail.com","(011)2675663","http://politehnika-nt.edu.rs","17642197","104266332","1971-11-04","Средње стручне школе","Државно","27","0","0","650","116","4","0","0","72","63.527800","99","90.027800"
"175.","1510","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Средња туристичка школа","Отона Жупанчича 4","11070","direktor@turistickaskola.edu.rs","(011)2607286","http://www.turistickaskola.edu.rs","17642219","104266357","2006-03-01","Средње стручне школе","Државно","27","0","0","836","405","1","0","0","72","63.010000","88","80.510000"
"176.","1511","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Техничка школа Нови Београд","Омладинских бригада 25","11070","sekretarijat@tehnicka.edu.rs","(011)2163532","http://www.tehnicka.edu.rs","7093322","102216642","1975-06-28","Средње стручне школе","Државно","21","0","0","528","177","1","0","0","54","42.833400","80","69.333400"
"177.","1512","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Графичка школа","Отона Жупанчича 19","11070","grafickaskola@gmail.com","2604422","http://grafickaskola.rs","7047380","101995752","","Средње стручне школе","Државно","32","0","0","907","506","11","2","0","76","69.106800","98","94.356800"
"178.","1513","Београд","Град Београд","Београд - Земун","Београд (Земун)","Земунска гимназија","Градски парк 1","11080","office@zemunskagimnazija.edu.rs","(011)2616915","http://www.zemunskagimnazija.edu.rs","7021291","100010159","1858-10-15","Гимназије","Државно","45","0","0","1306","714","0","0","0","96","87.750500","119","110.370500"
"179.","1514","Београд","Град Београд","Београд - Земун","Београд (Земун)","Економска школа Нада Димић","22. октобра 19","11080","esnadadimic@yahoo.com","(011)2190386","http://www.ekonomska-zemun.edu.rs/kontakt","7021267","100015460","1883-11-03","Средње стручне школе","Државно","18","0","0","552","325","0","0","0","44","34.620000","57","46.620000"
"180.","1515","Београд","Град Београд","Београд - Земун","Београд (Земун)","Медицинска школа Надежда Петровић","Наде Димић 4","11080","skola@medicinskazemun.edu.rs","(011)2618058","http://www.medicinskazemun.edu.rs","7021275","101540883","1958-07-11","Средње стручне школе","Државно","31","0","0","905","748","1","4","0","94","81.981700","115","102.281700"
"181.","1516","Београд","Град Београд","Београд - Земун","Београд (Земун)","Електротехничка школа Земун","Наде Димић 4","11080","direktor@ets-zemun.edu.rs","3077449","http://www.ets-zemun.edu.rs","7026641","101540955","2003-06-10","Средње стручне школе","Државно","28","3","0","786","45","2","0","0","69","69.296700","91","90.796700"
"182.","1517","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Техничка школа Змај","Омладинских бригада 25","11070","tszmaj@mts.rs","(011)2600667","http://www.skolaZmaj.edu.rs","7026650","100102295","1946-12-13","Средње стручне школе","Државно","18","0","0","427","101","0","1","0","52","43.215400","72","63.215400"
"183.","1518","Београд","Град Београд","Београд - Земун","Београд (Земун)","Саобраћајно-техничка школа","Цара Душана 262","11080","direktor@saobteh.edu.rs","4000100","http://www.saobteh.edu.rs","17076469","100016067","2016-09-04","Средње стручне школе","Државно","49","0","0","1318","286","0","0","0","123","109.123300","162","150.223300"
"184.","1519","Београд","Град Београд","Београд - Земун","Београд (Земун)","Правно-биротехничка школа Димитрије Давидовић","Тошин бунар 17","11080","pbskolaz@eunet.rs","(011)3164136","http://www.pravnobiroskola.edu.rs","7026684","100102287","1960-10-01","Средње стручне школе","Државно","22","0","0","683","418","0","1","0","56","44.670000","69","58.670000"
"185.","1521","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Гимназија","Краља Александра Обреновића 25","11400","gimnazijamladenovac@gmail.com","(011)8231366","http://gimnazijamladenovac.edu.rs","7524293","101477979","1990-10-01","Гимназије","Државно","21","0","0","570","328","0","0","0","47","38.422100","60","51.643200"
"186.","1522","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Техничка школа","Вука Караџића 75","11400","tsmladenovac@gmail.com","(011)8230143","http://www.tehnickaskola.edu.rs","7524285","101478980","1991-01-01","Средње стручне школе","Државно","30","7","4","626","119","2","26","0","73","60.307500","95","84.607500"
"187.","1523","Београд","Град Београд","Београд - Барајево","Барајево","Средња школа","Светосавска 4а","11460","skolabarajevo@yahoo.com","(011)8300206","http://srednjaskolabarajevo.edu.rs","7067623","101413717","1978-10-18","Средње стручне школе","Државно","23","4","0","581","318","0","3","0","63","50.751000","83","70.351000"
"188.","1524","Београд","Град Београд","Београд - Гроцка","Гроцка","Средња школа","Ужичка 2","11306","srednja.skola.grocka@gmail.com","(011)8500720","http://srednjaskolagrocka.edu.rs","7035195","101848107","1949-10-06","Средње стручне школе","Државно","26","6","0","659","411","0","9","0","64","51.721900","83","70.721900"
"189.","1525","Београд","Град Београд","Београд - Обреновац","Обреновац","Гимназија у Обреновцу","Милоша Обреновића 90","11500","gimnazijaobrenovac@gmail.com","(011)8721202","http://gimnazijauobrenovcu.edu.rs","7506597","101212895","1990-09-01","Гимназије","Државно","16","0","0","477","311","0","0","0","38","29.630000","51","43.130000"
"190.","1526","Београд","Град Београд","Београд - Обреновац","Обреновац","Техничка школа","Краља Петра I 12","11500","teh.skola.obr@gmail.com","(011)8721178","http://www.tsobrenovac.edu.rs","7094299","101214479","1985-05-30","Средње стручне школе","Државно","29","3","0","806","251","0","4","0","69","60.550000","89","81.710000"
"191.","1527","Београд","Град Београд","Београд - Обреновац","Обреновац","Пољопривредно-хемијска школа","Милоша Обреновића 90","11500","office@polj-hemskola.edu.rs","(011)8721375","http://www.polj-hemskola.edu.rs","7506589","101213357","1990-10-09","Средње стручне школе","Државно","23","4","0","563","370","0","8","0","63","53.790000","84","75.790000"
"192.","1528","Београд","Град Београд","Београд - Сопот","Сопот","Економско-трговинска школа","Кнеза Милоша 12","11450","ekonomska@sopot.edu.rs","(011)8251120","http://www.ekonomskasopot.edu.rs","7565631","100150743","1990-12-27","Средње стручне школе","Државно","21","0","0","573","397","1","3","0","53","43.727500","70","63.227500"
"193.","1529","Београд","Град Београд","Београд - Сопот","Сопот","Машинска школа Космај","Кнеза Милоша 12","11450","mskosmaj@bitinfo.co.rs","8251227","http://mskosmaj.edu.rs","7084005","100150735","1981-08-26","Средње стручне школе","Државно","4","1","0","92","12","1","0","0","19","7.755900","25","12.655900"
"194.","1530","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Гимназија","Доситеја Обрадовића 6","11550","gimnazija@gimnazijalazarevac.edu.rs","(011)8129480","http://www.gimnazijalazarevac.edu.rs","17079638","101132022","1995-05-09","Гимназије","Државно","20","0","0","544","357","1","0","0","46","39.621200","57","51.621200"
"195.","1531","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Техничка школа Колубара","Доситеја Обрадовића 6","11550","tskolubara@gmail.com","(011)8123098","http://tehnickaskolakolubara.edu.rs","7070365","101970205","1995-05-09","Средње стручне школе","Државно","39","0","0","1004","327","6","4","0","90","79.950000","115","109.380000"
"196.","1532","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Гимназија Милош Савковић","Јосипа Грушовника 1","34300","gimnazijaarandjelovac@gmail.com","(034)711051","http://gimnazijamilossavkovic.nasaskola.rs","7351160","100901430","1920-08-21","Гимназије","Државно","18","0","0","497","309","0","2","0","44","33.846700","55","45.846700"
"197.","1533","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Економско-угоститељска школа Слободан Минић","Јосифа Панчића 3","34300","es.slobodanminic@mts.rs","(034)6713393","http://eusslobodanminic.nasaskola.rs","7351186","100764334","1990-07-03","Средње стручне школе","Државно","19","3","0","552","353","0","2","0","64","50.164300","81","67.004300"
"198.","1534","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Техничка школа Милета Николић","Јосифа Панчића 3","34300","artskola@mts.rs","(034)6712128","http://www.tehniar.com","7351194","100901448","1990-07-03","Средње стручне школе","Државно","27","3","0","737","204","2","7","0","76","60.290000","91","78.290000"
"199.","1535","Крагујевац","Шумадијски управни округ","Баточина","Баточина","Средња школа Никола Тесла","Краља Милана Обреновића 2","34227","office@ssbatocina.edu.rs","(034)6841659","http://www.ssbatocina.edu.rs","7199554","101219763","1977-03-15","Средње стручне школе","Државно","12","0","0","237","99","2","3","0","39","22.660000","47","32.660000"
