"#","ИД установе","Универзитет","Назив установе","Тип установе","ИД програма","Назив програма","Звање","Поље","Ниво","Школарина за домаће студенте","Школарина за стране студенте","Број ЕСПБ бодова","Број решења акредитације","Датум решења акредитације","Акредитациона квота","Број буџетских студената - прва година","Број буџетских студената - друга година","Број буџетских студената - трећа година","Број буџетских студената - четврта година","Број буџетских студената - пета година","Број буџетских студената - шеста година","Број самофинансирајући студената - прва година","Број самофинансирајући студената - друга година","Број самофинансирајући студената - трећа година","Број самофинансирајући студената - четврта година","Број самофинансирајући студената - пета година","Број самофинансирајући студената - шеста година","Број страних студената - прва година","Број страних студената - друга година","Број страних студената - трећа година","Број страних студената - четврта година","Број страних студената - пета година","Број страних студената - шеста година","Број свршених студената током претходне школске године","Број пријављених кандидата на упису у наредну школску годину - I рок","Број пријављених кандидата на упису у наредну школску годину - II рок"
"595.","83","Универзитет у Приштини","Учитељски факултет, Лепосавић","Државни факултет","761","Васпитач у предшколским установама - ОАС","Дипломирани васпитач","Друштвено-хуманистичке науке","Основне академске","44000","1200","240","612-00-02452/2013-04","2015-01-23","50","30","24","14","26","","","4","21","6","12","","","0","0","0","0","","","28","35","1"
"596.","83","Универзитет у Приштини","Учитељски факултет, Лепосавић","Државни факултет","763","Разредна настава - МАС","Мастер учитељ","Друштвено-хуманистичке науке","Мастер академске","69000","1200","60","612-00-02452/2013-04","2015-01-23","50","5","","","","","","45","","","","","","0","","","","","","61","58","0"
"597.","83","Универзитет у Приштини","Учитељски факултет, Лепосавић","Државни факултет","765","Васпитач у предшколским установама - МАС","Мастер васпитач","Друштвено-хуманистичке науке","Мастер академске","69000","1200","60","612-00-00324/2012-04","2012-12-07","20","8","","","","","","12","","","","","","0","","","","","","24","48","0"
"598.","81","Универзитет у Приштини","Природно-математички факултет, Косовска Митровица","Државни факултет","766","Физика","Мастер физичар","Природно-математичке науке","Мастер академске","65000","1200","60","612-00-02703/2013-04","2014-08-29","10","4","","","","","","5","","","","","","","","","","","","14","9","0"
"599.","81","Универзитет у Приштини","Природно-математички факултет, Косовска Митровица","Државни факултет","769","Географија","Мастер географ","Природно-математичке науке","Мастер академске","65000","1200","60","612-00-02705/2013-04","2014-09-05","30","10","","","","","","20","","","","","","","","","","","","29","27","3"
"600.","81","Универзитет у Приштини","Природно-математички факултет, Косовска Митровица","Државни факултет","772","Хемија","Доктор наука - хемијске науке","Природно-математичке науке","Докторске академске","95000","1500","180","612-00-02700/2013-04","2014-07-04","5","","","2","","","","","1","2","","","","","","","","","","0","0","0"
"601.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","774","Архитектура и урбанизам (SAS)","Специјалиста инжењер архитектуре","Техничко-технолошке науке","Спец. академске","200000","4000","120","612-00-1247/2011-04","2011-10-28","0","0","0","","","","","0","0","","","","","0","0","","","","","2","0","0"
"602.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","775","Инжењерски менаџмент (SAS)","Специјалиста инжењер менаџмента","Техничко-технолошке науке","Спец. академске","200000","4000","120","612-00-1247/2011-04","2012-01-20","0","0","0","","","","","0","0","","","","","0","0","","","","","2","0","0"
"603.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","776","Енергетика, електроника и телекомуникације (SAS)","Специјалиста инжењер електротехнике и рачунарства","Техничко-технолошке науке","Спец. академске","200000","4000","120","612-00-1247/2011-04","2012-01-20","0","0","0","","","","","0","0","","","","","0","0","","","","","1","0","0"
"604.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","777","Инжењерство заштите животне средине (SAS)","Специјалиста инжењер заштите животне средине","Техничко-технолошке науке","Спец. академске","200000","4000","120","612-00-1247/2011-04","2011-11-25","0","0","0","","","","","0","0","","","","","0","0","","","","","0","0","0"
"605.","62","Универзитет у Новом Саду","Факултет техничких наука","Државни факултет","778","Софтверске и информационе технологије - Лозница (OSS)","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","90000","2000","180","612-00-00649/2012-04","31.08.2012.","0","0","0","0","","","","0","0","4","","","","0","0","0","","","","0","0","0"
"606.","16","Универзитет у Београду","Пољопривредни факултет","Државни факултет","779","Пољопривреда","Мастер инжењер пољопривреде","Техничко-технолошке науке","Мастер академске","106000","2200","60","612-00-00641/2013-04","2013-05-24","224","107","","","","","","75","","","","","","1","","","","","","66","105","11"
"607.","16","Универзитет у Београду","Пољопривредни факултет","Државни факултет","780","Фитомедицина","Мастер инжењер пољопривреде","Техничко-технолошке науке","Мастер академске","106000","2200","60","612-00-00641/2013-04","2013-05-24","32","21","","","","","","27","","","","","","0","","","","","","27","30","1"
"608.","74","Универзитет у Приштини","Економски факултет, Косовска Митровица","Државни факултет","781","Пословна економија","Дипломирани економиста","Друштвено-хуманистичке науке","Основне академске","50000","1100","240","612-00-00682/2013-04","04.07.2014.","150","71","63","49","79","","","4","20","11","12","","","0","0","0","0","","","76","54","18"
"609.","16","Универзитет у Београду","Пољопривредни факултет","Државни факултет","782","Менаџмент вода у пољопривреди","Мастер инжењер пољопривреде","Техничко-технолошке науке","Мастер академске","106000","2200","60","612-00-00677/2013-04","2013-05-24","32","0","","","","","","3","","","","","","0","","","","","","1","0","0"
"610.","16","Универзитет у Београду","Пољопривредни факултет","Државни факултет","783","Зоотехника","Специјалиста инжењер пољопривреде","Техничко-технолошке науке","Спец. академске","117000","2200","60","612-00-00641/2013-04","2013-05-24","32","0","","","","","","6","","","","","","0","","","","","","1","2","0"
"611.","65","Универзитет у Новом Саду","Медицински факултет","Државни факултет","831","Основне струковне студије здравствене неге","Струковна медицинска сестра","Медицинске науке","Основне струковне","88000","2000","180","612-00-00020/2014-04","04.07.2014.","48","25","19","64","0","0","0","31","12","38","0","0","0","0","0","0","0","0","0","18","17","0"
"612.","90","Државни Универзитет у Новом Пазару","Департман за техничке науке","Државни факултет","786","Рачунарска техника (ОАС)","Дипломирани инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне академске","60000","625","240","612-00-00244/2013-04","2013-03-22","110","49","24","14","22","","","27","13","10","11","","","0","0","0","0","","","1","58","0"
"613.","90","Државни Универзитет у Новом Пазару","Департман за техничке науке","Државни факултет","787","Аудио и видео технологија (ОАС)","Дипломирани инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне академске","60000","625","240","612-00-180/2009-04","2010-04-30","55","29","23","14","15","","","18","14","9","6","","","0","0","1","0","","","4","47","14"
"614.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","794","Основне струковне студије оптометрије","Струковни оптометриста","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне струковне","218900","3500","180","612-00-01114/2017-06","2017-07-21","30","0","0","0","","","","12","14","30","","","","0","0","0","","","","11","10","2"
"615.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","795","Основне академске студије Дипломирани географ","Дипломирани географ","Природно-математичке науке","Основне академске","54450","2000","240","612-00-00690/2014-04","2014-09-05","","10","10","6","13","","","10","10","8","17","","","","","","","","","1","",""
"616.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","796","Основне академске студије Дипломирани професор географије","Дипломирани професор географије","Природно-математичке науке","Основне академске","54450","2000","240","612-00-00690/2014-04","2014-09-05","40","0","8","10","20","","","0","19","21","137","","","0","0","0","0","","","26","21","1"
"617.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","797","Основне академске студије Дипломирани туризмолог","Дипломирани туризмолог","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне академске","107690","2000","240","612-00-00690/2014-04","2014-09-05","160","0","8","1","49","","","1","6","7","202","","","0","0","0","0","","","79","223","0"
"618.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","798","Основне академске студије Математика","Математичар","Природно-математичке науке","Основне академске","54450","2000","180","612-00-01114/2017-06","2017-07-21","80","23","14","33","","","","18","26","128","","","","0","1","0","","","","44","32","3"
"619.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","799","Основне академске студије Дипломирани професор математике","Дипломирани професор математике","Природно-математичке науке","Основне академске","54450","2000","240","612-00-01154/2012-04","2013-06-07","55","0","8","14","37","","","10","25","22","143","","","0","0","0","0","","","19","24","6"
"620.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","801","Мастер академске студије Мастер професор биологије","Мастер професор биологије","Природно-математичке науке","Мастер академске","90750","5000","60","612-00-280/2011-04","2012-06-22","0","0","","","","","","2","","","","","","0","","","","","","22","0","0"
"621.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","802","Мастер академске студије репродуктивне биологије","Мастер репродуктивни биолог - ембриолог","Природно-математичке науке","Мастер академске","118000","5000","90","612-00-01069/2012-04","2016-07-13","20","0","0","","","","","12","20","","","","","0","0","","","","","6","14","1"
"622.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","803","Мастер академске студије Мастер професор физике","Мастер професор физике","Природно-математичке науке","Мастер академске","54450","5000","60","612-00-280/2011-04","2012-01-20","15","0","","","","","","3","","","","","","0","","","","","","5","8","6"
"623.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","804","Мастер академске студије Мастер географ","Мастер географ","Природно-математичке науке","Мастер академске","107690","5000","60","612-00-280/2011-04","2012-03-03","20","10","","","","","","13","","","","","","0","","","","","","9","13","3"
"624.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","805","Мастер академске студије Мастер професор географије","Мастер професор географије","Природно-математичке науке","Мастер академске","54450","5000","60","612-00-003392/2016-06","2017-07-21","30","20","","","","","","11","","","","","","0","","","","","","21","18","7"
"625.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","806","Мастер академске студије Мастер туризмолог","Мастер туризмолог","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Мастер академске","107690","5000","60","612-00-01154/2012-04","2013-02-01","100","0","","","","","","39","","","","","","0","","","","","","66","45","16"
"626.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","808","Мастер академске студије Мастер професор математике","Мастер математичар","Природно-математичке науке","Мастер академске","54450","1000","120","612-00-01154/2012-04","2013-06-07","25","0","3","","","","","0","22","","","","","0","0","","","","","5","0","3"
"627.","68","Универзитет у Новом Саду","Природно-математички факултет","Државни факултет","809","Мастер академске студије Настава информатике","Мастер информатичар","Природно-математичке науке","Мастер академске","77440","5000","120","612-00-01154/2012-04","2013-06-07","0","0","0","","","","","0","9","","","","","0","0","","","","","1","0","0"
"628.","57","Универзитет у Нишу","Учитељски факултет, Врање","Државни факултет","1865","ИАС Мастер професор технике и информатике","Мастер професор технике и информатике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Интегр. академске","60000","1000","300","612-00-00090/2015-04","20.03.2015.","50","21","","","","","","3","","","","","","","","","","","","0","14","8"
"629.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","469","Предузетнички бизнис","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","60000","1175","180","612-00-00110/2012-04","27.04.2012.","","30","18","10","","","","50","44","73","","","","0","0","0","","","","17","",""
"630.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","467","Финансијско пословање и рачуноводство","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","60000","1175","180","612-00-00110/2012-04","14.09.2012.","","70","70","97","","","","127","96","240","","","","0","0","0","","","","78","",""
"631.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","473","Трговина и међународно пословање","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","60000","1175","180","612-00-00110/2012-04","14.09.2012.","","70","59","85","","","","164","59","201","","","","0","0","0","","","","41","",""
"632.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","477","Туризам и хотелијерство","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","60000","1175","180","612-00-00110/2012-04","14.09.2012.","","30","26","27","","","","115","53","101","","","","0","0","0","","","","19","",""
"633.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","485","Банкарство и осигурање","Специјалиста струковни економиста","Друштвено-хуманистичке науке","Спец. струковне","65000","1.38","60","612-00-00110/2012-04","2012-04-27","","","","","","","","78","","","","","","","","","","","","12","",""
"634.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","488","Менаџмент план 2014","Специјалиста струковни економиста","Друштвено-хуманистичке науке","Спец. струковне","65000","1.38","60","612-00-00110/2012-04","2014-03-07","50","0","","","","","","27","","","","","","0","","","","","","0","8","0"
"635.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","490","Електронско пословање","Специјалиста струковни пословни информатичар","Друштвено-хуманистичке науке","Спец. струковне","65000","1.38","60","","","","","","","","","","22","","","","","","","","","","","","3","",""
"636.","141","","Висока пословна школа струковних студија - Нови Сад","Државна висока школа","492","Менаџмент план 2010","Специјалиста струковни менаџер","Друштвено-хуманистичке науке","Спец. струковне","65000","1.38","60","","","","","","","","","","23","","","","","","","","","","","","9","",""
"637.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","558","Термотехника са екологијом","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","7","","","","0","0","12","","","","","","","","","","8","",""
"638.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","561","Развој производа са мехатроником","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","17","","","","0","0","22","","","","","","","","","","17","",""
"639.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","562","Информатичко инжењерство","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","15","","","","0","0","23","","","","","","","","","","14","",""
"640.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","563","Интернет и електронско пословање","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","25","","","","0","0","23","","","","0","0","0","","","","16","",""
"641.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","564","Електроника са телекомуникацијом","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","13","","","","0","0","24","","","","0","0","0","","","","14","",""
"642.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","565","Аутоматика са енергетиком","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","50000","1212","180","","","","0","0","11","","","","0","0","25","","","","0","0","0","","","","10","",""
"643.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","568","Технички комуникациони менаџмент","Струковни инжењер менаџмента","Техничко-технолошке науке","Основне струковне","58000","2060","180","612-00-00825/2016-06","2016-12-16","25","40","20","24","","","","8","9","4","","","","0","0","0","","","","4","23","0"
"644.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","570","Електротехника","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","58000","2060","180","612-00-03427/2016-06","2017-07-21","20","11","15","31","","","","4","8","8","","","","0","0","0","","","","1","7","0"
"645.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","571","Информатика","Струковни инжењер електротехнике и рачунарства","Техничко-технолошке науке","Основне струковне","58000","2060","180","612-00-03427/2016-06","2017-05-05","90","72","40","34","","","","21","13","12","","","","0","0","0","","","","18","128","0"
"646.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","573","Машинство","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","58000","2060","180","612-00-03427/2016-06","2017-10-13","40","31","23","15","","","","9","6","2","","","","0","0","0","","","","5","19","0"
"647.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","575","Мехатроника","Струковни инжењер мехатронике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне струковне","58000","2060","180","612-00-03427/2016-06","2017-04-21","25","14","11","4","","","","3","1","1","","","","0","0","0","","","","1","16","0"
"648.","143","","Висока техничка школа струковних студија - Суботица","Државна висока школа","576","Мехатроника","Специјалиста струковни инжењер мехатронике","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Спец. струковне","0","0","60","612-00-03427/2016-06","2017-04-21","0","0","0","0","","","","15","0","0","","","","0","0","0","","","","7","0","0"
"649.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","590","Производна економија","Струковни економиста","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне струковне","50000","1000","180","612-00-00156/2012-04","2012-04-27","30","20","20","15","","","","10","2","7","","","","0","0","0","","","","23","21","0"
"650.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","591","Пословна економија и информатика","Специјалиста струковни економиста","Друштвено-хуманистичке науке","Спец. струковне","90000","1200","60","612-00-00587/2014-04","2014-11-28","","","","","","","","29","","","","","","","","","","","","6","",""
"651.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","592","Пословна економија","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-00106/2012-04","2012-04-27","","91","80","90","","","","36","13","69","","","","","","","","","","35","",""
"652.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","593","Пословна информатика","Струковни пословни информатичар","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-00106/2012-04","2012-04-27","","40","20","40","","","","2","10","10","","","","","","","","","","16","",""
"653.","120","","В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд","Државна висока школа","607","Дизајн текстила и одеће","Струковни дизајнер","Уметност","Основне струковне","95000","2000","180","612-00-03368/2016-06","2017-10-13","60","53","52","72","","","","9","3","42","","","","0","0","0","","","","61","37","4"
"654.","138","","Висока школа струковних студија за образовање васпитача - Сремска Митровица","Државна висока школа","1745","Струковни васпитач деце у јаслицама","Струковни васпитач","Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије","Основне струковне","50000","0","180","612-00-00391/2015-06","2016-05-13","25","","","","","","","","","","","","","0","","","","","","18","6","3"
"655.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","641","Машинско инжењерство","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","50000","10000","180","612-00-00156/2012-04","2012-04-27","30","30","27","16","","","","0","1","6","","","","0","0","0","","","","21","20","0"
"656.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","642","Инжењерство намештаја и ентеријера","Струковни инжењер технологије","Техничко-технолошке науке","Основне струковне","50000","1000","180","612-00-00156/2012-04","2012-04-27","20","20","10","13","","","","2","0","5","","","","0","0","0","","","","10","14","0"
"657.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","644","Прехрамбена технологија","Струковни инжењер технологије","Техничко-технолошке науке","Основне струковне","50000","1000","180","612-00-00156/2012-04","2012-04-27","20","20","9","15","","","","0","2","6","","","","0","0","0","","","","31","10","0"
"658.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","647","Заштита животне средине","Струковни инжењер заштите животне средине","Техничко-технолошке науке","Основне струковне","50000","1000","180","612-00-00156/2012-04","2012-04-27","20","10","10","10","","","","10","6","6","","","","0","0","0","","","","2","11","0"
"659.","129","","Висока школа примењених струковних студија, Врање","Државна висока школа","656","Специјалисти-Саобраћајно инжењерство-друмски саобраћај","Специјалиста струковни инжењер саобраћаја","Друштвено-хуманистичке науке","Спец. струковне","80000","1500","60","","","","0","","","","","","32","","","","","","0","","","","","","0","",""
"660.","120","","В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд","Државна висока школа","657","Менаџмент у текстилној индустрији","Струковни инжењер менаџмента","Техничко-технолошке науке","Основне струковне","65000","2000","180","612-00-03368/2016-06","2017-09-15","60","46","18","26","","","","9","3","3","","","","0","0","0","","","","18","13","25"
"661.","120","","В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд","Државна висока школа","658","Текстилно инжењерство","Струковни инжењер технологије","Техничко-технолошке науке","Основне струковне","65000","2000","180","612-00-03368/2016-06","2017-09-15","60","30","16","21","","","","37","10","12","","","","0","0","0","","","","10","26","10"
"662.","137","","Висока школа струковних студија за образовање васпитача - Нови Сад","Државна висока школа","662","Васпитач деце предшколског узраста","Струковни васпитач","Друштвено-хуманистичке науке","Основне струковне","65000","0","180","612-00-02296/2015-06","2016-06-17","150","86","95","105","","","","64","33","34","","","","0","0","0","","","","68","144","8"
"663.","120","","В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд","Државна висока школа","664","Модни менаџмент","Специјалиста струковни инжењер менаџмента","Техничко-технолошке науке","Спец. струковне","90000","2500","60","612-00-00147/2012-04","27.04.2012.","32","0","","","","","","27","","","","","","0","","","","","","10","15","0"
"664.","137","","Висока школа струковних студија за образовање васпитача - Нови Сад","Државна висока школа","663","Специјалистичке струковне студије-струковне студије за образовање васпитача деце предшколског узраста","Специјалиста струковни васпитач","Друштвено-хуманистичке науке","Спец. струковне","75000","0","60","","","","0","","","","","","48","","","","","","0","","","","","","52","",""
"665.","120","","В.текстил. струк.ш. за дизајн, технологију и менаџмент, Београд","Државна висока школа","665","Одећа специјалне намене","Специјалиста струковни инжењер технологије","Техничко-технолошке науке","Спец. струковне","90000","2500","60","612-00-03368/2016-06","2017-09-15","32","0","","","","","","18","","","","","","0","","","","","","5","6","0"
"666.","119","","В. техничка школа струковних студија, Пожаревац","Државна висока школа","896","Заштита биља","Инжењер пољопривреде","Техничко-технолошке науке","Основне струковне","55000","1000","180","612-00-03468/2016-06","2017-05-26","50","33","11","30","","","","0","9","5","","","","0","0","0","","","","32","18","0"
"667.","119","","В. техничка школа струковних студија, Пожаревац","Државна висока школа","897","Заштита животне средине","Струковни инжењер заштите животне средине","Техничко-технолошке науке","Основне струковне","55000","1000","180","612-00-03466/2016-06","2017-05-05","60","33","8","50","","","","0","7","18","","","","0","0","0","","","","28","28","0"
"668.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","678","Електронско пословање","Струковни пословни информатичар","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-1164/2006-04","2007-06-02","","","","","","","","","","17","","","","","","","","","","15","",""
"669.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","691","Пословни менаџмент","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","66000","900","180","612-00-441/2009-04","2010-07-09","","","","","","","","","","2","","","","","","","","","","5","",""
"670.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","694","Рачуноводство, ревизија и порези","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-441/2009-04","2010-07-09","","","","","","","","","","3","","","","","","","","","","1","",""
"671.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","698","Међународна пословна администрација","Струковни менаџер","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-441/2009-04","2011-12-09","","","","2","","","","","","10","","","","","","","","","","0","",""
"672.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","701","Банкарство и осигурање","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-1164/2006-04","2007-06-02","","","","","","","","","","17","","","","","","","","","","30","",""
"673.","104","","Висока пословна школа струковних студија, Ваљево","Државна висока школа","703","Маркетинг и трговина","Струковни економиста","Друштвено-хуманистичке науке","Основне струковне","66000","1200","180","612-00-1164/2006-04","2007-06-02","","","","","","","","","","17","","","","","","","","","","11","",""
"674.","119","","В. техничка школа струковних студија, Пожаревац","Државна висока школа","898","Машинство","Струковни инжењер машинства","Техничко-технолошке науке","Основне струковне","55000","1000","180","612-00-03471/2016-06","2017-05-19","60","33","11","25","","","","0","5","12","","","","0","0","0","","","","11","27","0"
"675.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","708","Струковни физиотерапеут","Струковни физиотерпеут","Медицинске науке","Основне струковне","80000","1500","180","612-00-03366/2016-06","2017-09-01","80","22","28","45","","","","58","52","35","","","","","","","","","","84","119","0"
"676.","119","","В. техничка школа струковних студија, Пожаревац","Државна висока школа","899","Прехрамбена технологија и нутриционизам","Струковни инжењер технологије","Техничко-технолошке науке","Основне струковне","55000","1000","180","612-00-00436/2015-06","2015-03-20","50","33","17","40","","","","2","11","17","","","","0","0","0","","","","26","30","0"
"677.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","710","Струковни козметичар естетичар","Струковни козметичар естетичар","Медицинске науке","Основне струковне","80000","1500","180","612-00-03366/2016-06","2017-06-30","30","2","6","7","","","","28","24","23","","","","0","","","","","","14","18","17"
"678.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","711","Струковна  медицинска  сестра","Струковна медицинска сестра","Медицинске науке","Основне струковне","80000","1500","180","612-00-01144/2012-04","2013-03-08","160","51","58","39","","","","109","102","21","","","","0","","","","","","103","256","0"
"679.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","712","Струковна медицинска сестра бабица","Струковна медицинска сестра - бабица","Медицинске науке","Основне струковне","80000","1500","180","612-00-02314/2014-04","2015-05-08","30","5","6","8","","","","19","18","16","","","","0","","","","","","14","21","23"
"680.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","713","Струковни  фармацеут","Струковни фармацеутски техничар","Медицинске науке","Основне струковне","80000","1.5","180","612-00-02314/2014-04","2015-03-06","30","5","6","8","","","","19","18","16","","","","0","","","","","","25","37","0"
"681.","119","","В. техничка школа струковних студија, Пожаревац","Државна висока школа","900","Прехрамбена технологија - специјализација","Специјалиста струковни инжењер технологије","Техничко-технолошке науке","Спец. струковне","105000","2000","60","612-00-896/2011-04","2011-12-23","","","","","","","","","","","3","","","","","","","","","2","",""
"682.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","715","Струковни  медицински  радиолог","Струковни медицински радиолог","Медицинске науке","Основне струковне","80000","1500","180","012-00-00060/2014-04","2014-05-23","36","5","0","0","","","","31","0","0","","","","0","0","0","","","","0","101","0"
"683.","117","","Висока медицинкса школа струковних студија, Ћуприја","Државна висока школа","716","Специјалиста струковна  медицинска сестра","Специјалиста струковна медицинска сестра - област Клиничка нега","Медицинске науке","Спец. струковне","80000","1.5","60","","","","0","","","","","","20","","","","","","0","","","","","","16","",""
